,ellipse,diameter,location,confidence,timestamp
425,"{'center': (319.4585952758789, 222.4927978515625), 'axes': (100.02967071533203, 104.48468780517578), 'angle': 88.4955825805664}",104.48468780517578,"(319.4585952758789, 222.4927978515625)",1.0,7.083333333333333
426,"{'center': (319.43119049072266, 221.9000701904297), 'axes': (99.68756866455078, 104.49982452392578), 'angle': 88.26993560791016}",104.49982452392578,"(319.43119049072266, 221.9000701904297)",1.0,7.1
427,"{'center': (319.44007873535156, 221.2782211303711), 'axes': (99.1548080444336, 104.43302154541016), 'angle': 88.77487945556642}",104.43302154541016,"(319.44007873535156, 221.2782211303711)",1.0,7.116666666666666
428,"{'center': (319.44850158691406, 220.7102508544922), 'axes': (98.84344482421875, 104.37826538085938), 'angle': 88.3048782348633}",104.37826538085938,"(319.44850158691406, 220.7102508544922)",1.0,7.133333333333334
429,"{'center': (319.45203399658203, 220.07791900634766), 'axes': (98.25811004638672, 104.37614440917969), 'angle': 88.90614318847658}",104.37614440917969,"(319.45203399658203, 220.07791900634766)",1.0,7.15
430,"{'center': (319.42466735839844, 219.45529174804688), 'axes': (97.82960510253906, 104.4756851196289), 'angle': 88.69197845458984}",104.4756851196289,"(319.42466735839844, 219.45529174804688)",1.0,7.166666666666667
431,"{'center': (319.42296600341797, 218.8759994506836), 'axes': (97.45951843261719, 104.17740631103516), 'angle': 88.97799682617189}",104.17740631103516,"(319.42296600341797, 218.8759994506836)",1.0,7.183333333333334
432,"{'center': (319.44239807128906, 218.25640106201172), 'axes': (96.99671936035156, 104.0408935546875), 'angle': 88.74626159667967}",104.0408935546875,"(319.44239807128906, 218.25640106201172)",1.0,7.2
433,"{'center': (319.43338775634766, 217.71155548095703), 'axes': (96.64093780517578, 104.0837631225586), 'angle': 88.98734283447266}",104.0837631225586,"(319.43338775634766, 217.71155548095703)",1.0,7.216666666666667
434,"{'center': (319.4245147705078, 217.07813262939453), 'axes': (96.05900573730469, 104.05362701416016), 'angle': 88.22155761718751}",104.05362701416016,"(319.4245147705078, 217.07813262939453)",1.0,7.233333333333333
435,"{'center': (319.4336166381836, 216.4641342163086), 'axes': (95.49285125732422, 103.93316650390625), 'angle': 89.08135223388673}",103.93316650390625,"(319.4336166381836, 216.4641342163086)",1.0,7.25
436,"{'center': (319.40391540527344, 215.88563537597656), 'axes': (94.94444274902344, 103.74456787109375), 'angle': 88.74791717529297}",103.74456787109375,"(319.40391540527344, 215.88563537597656)",1.0,7.266666666666667
437,"{'center': (319.482666015625, 215.29932403564453), 'axes': (94.55105590820312, 103.86260223388672), 'angle': 89.31970977783205}",103.86260223388672,"(319.482666015625, 215.29932403564453)",1.0,7.283333333333333
438,"{'center': (319.4093322753906, 214.7502670288086), 'axes': (93.92939758300781, 103.72258758544922), 'angle': 89.26394653320311}",103.72258758544922,"(319.4093322753906, 214.7502670288086)",1.0,7.3
439,"{'center': (319.3482208251953, 214.19178771972656), 'axes': (93.43232727050781, 103.55547332763672), 'angle': 89.21206665039062}",103.55547332763672,"(319.3482208251953, 214.19178771972656)",1.0,7.316666666666666
440,"{'center': (319.4532012939453, 213.5389633178711), 'axes': (92.82813262939453, 103.50184631347656), 'angle': 88.6475067138672}",103.50184631347656,"(319.4532012939453, 213.5389633178711)",1.0,7.333333333333333
441,"{'center': (319.43724060058594, 212.99734497070312), 'axes': (92.23646545410156, 103.474609375), 'angle': 89.49573516845703}",103.474609375,"(319.43724060058594, 212.99734497070312)",1.0,7.35
442,"{'center': (319.39989471435547, 212.44806671142578), 'axes': (91.58287811279297, 103.4229507446289), 'angle': 89.36968231201172}",103.4229507446289,"(319.39989471435547, 212.44806671142578)",1.0,7.366666666666666
443,"{'center': (319.4237365722656, 211.81825256347656), 'axes': (90.96321105957031, 103.44466400146484), 'angle': 88.90653228759764}",103.44466400146484,"(319.4237365722656, 211.81825256347656)",1.0,7.383333333333334
444,"{'center': (319.45384216308594, 211.27625274658203), 'axes': (90.45938873291016, 103.28376770019531), 'angle': 89.63634490966797}",103.28376770019531,"(319.45384216308594, 211.27625274658203)",1.0,7.4
445,"{'center': (319.4164581298828, 210.75499725341797), 'axes': (89.75444030761719, 103.23920440673828), 'angle': 89.62105560302734}",103.23920440673828,"(319.4164581298828, 210.75499725341797)",1.0,7.416666666666667
446,"{'center': (319.43761444091797, 210.14127349853516), 'axes': (89.05659484863281, 103.23800659179688), 'angle': 89.56175994873045}",103.23800659179688,"(319.43761444091797, 210.14127349853516)",1.0,7.433333333333334
447,"{'center': (319.39373779296875, 209.62095642089844), 'axes': (88.41730499267578, 103.10145568847656), 'angle': 89.25679779052736}",103.10145568847656,"(319.39373779296875, 209.62095642089844)",1.0,7.45
448,"{'center': (319.43692779541016, 209.05683135986328), 'axes': (87.9425048828125, 102.82630157470703), 'angle': 89.57287597656249}",102.82630157470703,"(319.43692779541016, 209.05683135986328)",1.0,7.466666666666667
449,"{'center': (319.4718017578125, 208.46275329589844), 'axes': (87.24156951904297, 103.0289077758789), 'angle': 89.5251235961914}",103.0289077758789,"(319.4718017578125, 208.46275329589844)",1.0,7.483333333333333
450,"{'center': (319.44496154785156, 207.92059326171875), 'axes': (86.39945983886719, 102.8292465209961), 'angle': 89.32837677001953}",102.8292465209961,"(319.44496154785156, 207.92059326171875)",1.0,7.5
451,"{'center': (319.43115234375, 207.41793823242188), 'axes': (85.63660430908203, 102.76968383789062), 'angle': 89.80152130126953}",102.76968383789062,"(319.43115234375, 207.41793823242188)",1.0,7.516666666666667
452,"{'center': (319.4281921386719, 206.86610412597656), 'axes': (85.09708404541016, 102.63314056396484), 'angle': 89.05894470214845}",102.63314056396484,"(319.4281921386719, 206.86610412597656)",1.0,7.533333333333333
